parameter_name,Narrow eye opening
mouse_strain,C50BL
analysis_id,ks940508bga72v3
mouse_life_stage,E12.5
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.09124687
parameter_id,IMPC_EYE_006_001
