analysis_id,6gp31ar88sr0r66
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
pvalue,0.5280182
gene_accession_id,MGI:1922082
gene_symbol,Slc45a3
