gene_symbol,Sgip1
mouse_life_stage,Early adult
pvalue,0.2215162
gene_accession_id,MGI:1920344
parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
parameter_name,Monocytes
analysis_id,x9x2tq0503419c9
