parameter_name,18kHz-evoked ABR Threshold
analysis_id,ex12ll28l9p24b9
gene_symbol,Ints7
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
pvalue,0.1854776
