analysis_id,4700h6uql74mlec
mouse_strain,C57BL
gene_accession_id,MGI:1913284
parameter_id,IMPC_IPG_010_001
mouse_life_stage,Early adult
gene_symbol,Psmd14
pvalue,0.793001
parameter_name,Fasted blood glucose concentration
