analysis_id,sqsx6qbk2e8x0jt
mouse_strain,C57BL
pvalue,0.9230667
parameter_id,GMC_906_001_005
parameter_name,Potassium
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
