analysis_id,59wu74528z3k4rv
mouse_strain,C57BL
pvalue,0.7748291
parameter_name,Effector CD8+ T cells - % of CD45+
gene_symbol,Stk35
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
parameter_id,MGP_IMM_081_001
