parameter_id,IMPC_DXA_007_001
pvalue,0.1972499
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
gene_symbol,Ssr2
mouse_strain,C57BL
analysis_id,aq7bjd0e19df211
parameter_name,BMC/Body weight
