parameter_name,Total protein
mouse_strain,C57BL
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
pvalue,0.3705079
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
analysis_id,mmv222sv975a067
