analysis_id,129jbi4765f0tqy
gene_accession_id,MGI:1332236
parameter_id,IMPC_ACS_037_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - Global
pvalue,0.3954251
gene_symbol,Cds2
