gene_symbol,Tatdn3
parameter_id,MGP_IMM_121_001
analysis_id,9appc4es8r5bgbz
parameter_name,Macrophages - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
mouse_strain,C57BL
pvalue,0.7695155
