analysis_id,88n0l5f37mv78k0
parameter_name,HRV
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
parameter_id,IMPC_ECG_010_001
gene_symbol,Bpifa3
pvalue,0.8328857
