parameter_name,Hematocrit
analysis_id,pd8fpzo9qosg108
pvalue,0.942675
parameter_id,IMPC_HEM_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
