gene_symbol,Snap23
parameter_name,Chloride
mouse_life_stage,Early adult
analysis_id,4681anaqqtkhv88
pvalue,0.5799876
parameter_id,HMGULA_CBC_003_001
mouse_strain,C57BL
gene_accession_id,MGI:109356
