gene_symbol,Tiprl
parameter_name,Edema
gene_accession_id,MGI:1915087
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.08424557
parameter_id,IMPC_GEO_064_001
analysis_id,u8ou338ch4t14jk
