gene_symbol,Stk35
gene_accession_id,MGI:1914583
pvalue,0.1476091
analysis_id,0iy5t23w0dg05y5
parameter_id,MGP_PBI_030_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
