parameter_name,Zygomatic bone
gene_accession_id,MGI:88174
pvalue,0.8914447
gene_symbol,Bmi1
mouse_strain,C57BL
mouse_life_stage,E15.5
analysis_id,1ao3ao21v39785x
parameter_id,IMPC_XRY_002_001
