analysis_id,88l57801gh6pjx1
mouse_life_stage,E9.5
pvalue,0.1218406
mouse_strain,C57BL
gene_symbol,Wars2
parameter_id,JAX_LDT_008_001
parameter_name,Percent time in dark
gene_accession_id,MGI:1917810
