gene_symbol,Psd4
parameter_name,NK cell number
pvalue,0.3689637
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,534c6wnyc95n711
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:2674093
