analysis_id,5u78j84c995n7d5
gene_accession_id,MGI:1924054
parameter_name,cDCs CD11b Type
mouse_strain,C57BL
gene_symbol,Kdm4c
pvalue,0.436603
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_073_001
