parameter_name,Center resting time
parameter_id,JAX_OFD_015_001
gene_symbol,Dnaaf9
pvalue,0.286744
analysis_id,mws649mw492cno4
mouse_strain,C57BL
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
