gene_symbol,Cds2
pvalue,0.139074
mouse_life_stage,Early adult
analysis_id,0c7q8wj86fm1tmo
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
gene_accession_id,MGI:1332236
parameter_name,Prepulse inhibition - PP3
