gene_symbol,Mecom
parameter_id,M-G-P_026_001_004
pvalue,0.7431635
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,3s17w3p5683279f
parameter_name,Coat colouration
gene_accession_id,MGI:95457
