parameter_name,Lymphocyte differential count
analysis_id,v20lxmns950504c
parameter_id,IMPC_HEM_031_001
mouse_life_stage,E9.5
gene_symbol,Cdin1
pvalue,1.05773
mouse_strain,C57BL
gene_accession_id,MGI:3026886
