parameter_name,Calcium
gene_accession_id,MGI:1931749
gene_symbol,Pum1
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
pvalue,0.2526124
mouse_life_stage,Early adult
analysis_id,nz83y57yhszv16e
