gene_symbol,Galnt13
gene_accession_id,MGI:2139447
analysis_id,6p7z56u798726l3
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
parameter_name,Center average speed
pvalue,0.1057953
mouse_life_stage,Late adult
