analysis_id,3if043o5lx74924
mouse_strain,C57BL
parameter_id,IMPC_XRY_024_001
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
gene_symbol,Dmap1
parameter_name,Femur
pvalue,0.9283463
