analysis_id,az77whvc4752knc
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
mouse_life_stage,Early adult
gene_symbol,Ntmt2
mouse_strain,C57BL
pvalue,0.3936521
gene_accession_id,MGI:2685053
