gene_symbol,Atf3
mouse_strain,C57BL
analysis_id,0dwplg30h3l7bx1
pvalue,0.7451224
parameter_id,MGP_IMM_129_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
parameter_name,CD11b-high cDC - % of CD45+
