parameter_id,MGP_MLN_072_001
gene_symbol,Casq1
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
mouse_strain,C57BL
pvalue,0.3121841
parameter_name,KLRG1+ Treg cells - % of CD45+
analysis_id,77n0161t0x6d454
