analysis_id,z5n0cp777343yv3
pvalue,0.7396435
gene_symbol,Ahctf1
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:1915033
mouse_strain,C51BL
parameter_name,Tremor
