analysis_id,0y1xr56ty88ysm4
gene_symbol,Alkbh3
mouse_life_stage,Early adult
parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
pvalue,0.9496661
gene_accession_id,MGI:1916363
mouse_strain,C57BL
