analysis_id,c002d672slad4n7
gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_name,Number of rears - total
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,JAX_OFD_021_001
pvalue,0.8757478
