analysis_id,0tlo88i0a60249s
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.7115738
parameter_name,Calcium
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
