parameter_name,Haemoglobin
mouse_strain,C57BL
pvalue,0.1795326
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_003
analysis_id,231g2c8vcn85d3u
gene_symbol,Slc28a2
gene_accession_id,MGI:1913105
