analysis_id,b152xa4460409v1
parameter_name,T cells - % of CD45+
parameter_id,MGP_BMI_019_001
gene_accession_id,MGI:1914836
mouse_strain,C57BL
gene_symbol,Ubxn11
pvalue,0.7078372
mouse_life_stage,Early adult
