parameter_name,Center permanence time
analysis_id,543gc98j50am9o2
gene_symbol,Nanp
pvalue,0.5661109
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
