analysis_id,m046ml948912d68
parameter_name,Persistence of hyaloid vascular system
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
parameter_id,IMPC_EYE_027_001
pvalue,0.1871847
mouse_strain,C57BL
gene_symbol,Lpgat1
