analysis_id,242596v93334j01
gene_accession_id,MGI:1923029
pvalue,0.5961363
parameter_name,KLRG1+ mature NK cell number
gene_symbol,Dnaaf9
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
mouse_life_stage,Early adult
