parameter_name,HRV
gene_symbol,Secisbp2l
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_010_001
analysis_id,72co7s7a284imj5
gene_accession_id,MGI:1917604
pvalue,0.6244327
