analysis_id,2s800967q5y94jl
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
parameter_name,Prepulse inhibition - PP4
pvalue,0.5464389
parameter_id,ESLIM_011_001_704
