analysis_id,x9pspd26a0xl46d
parameter_id,IMPC_IMM_032_001
parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,E12.5
gene_symbol,Wars2
pvalue,0.2370491
mouse_strain,C57BL
gene_accession_id,MGI:1917810
