gene_symbol,Rab22a
parameter_id,IMPC_IMM_025_001
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:105072
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,kcqo44p09e6554d
pvalue,0.08185231
