parameter_id,CCP_XRY_001_001
analysis_id,exb0xo5w897jjzp
mouse_strain,C57BL
parameter_name,Skull shape
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
pvalue,0.05075821
