analysis_id,909933l4bb080ap
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.6269614
parameter_id,MGP_IMM_036_001
mouse_strain,C57BL
