gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
pvalue,0.8616151
parameter_name,Effector CD8+ T cells - % of CD45+
analysis_id,is9lmiswc8rg564
mouse_life_stage,E15.5
