analysis_id,o3q7028o5e53290
parameter_id,IMPC_ACS_035_001
gene_symbol,Dnaaf9
parameter_name,% Pre-pulse inhibition - PPI3
mouse_strain,C57BL
gene_accession_id,MGI:1923029
pvalue,2.222324e-08
mouse_life_stage,Early adult
