analysis_id,979ea39o16v02u9
mouse_strain,129SV
gene_symbol,Zmynd8
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
gene_accession_id,MGI:1918025
pvalue,0.5545068
parameter_name,Cholesterol ratio
