gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_id,IMPC_GEO_064_001
analysis_id,2e1dk0du1zu6y6n
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.713468
parameter_name,Edema
