analysis_id,e0r6832b4v9cq34
mouse_strain,129SV
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_name,Periphery average speed
pvalue,0.3612191
mouse_life_stage,Early adult
parameter_id,JAX_OFD_013_001
