gene_symbol,Dzank1
parameter_name,HRV
analysis_id,g658m3p74v36322
pvalue,0.7951422
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:2139080
