parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
parameter_name,Right kidney weight
mouse_strain,C57BL
analysis_id,6bmq56vjilomsyy
gene_symbol,Atrn
gene_accession_id,MGI:1341628
pvalue,0.9562708
