analysis_id,598t3d5ryt4e0ss
pvalue,0.3294719
parameter_id,HRWLLA_FEA_015_001
parameter_name,Cue Baseline % Freezing Time
mouse_strain,C57BL
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,E15.5
