parameter_name,Fasted blood glucose concentration
pvalue,0.2755447
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
parameter_id,IMPC_IPG_010_001
mouse_strain,C57BL
mouse_life_stage,E15.5
analysis_id,04v17rgy6sq203l
