analysis_id,5333404q8qh036k
mouse_strain,C57BL
parameter_id,MGP_MLN_010_001
pvalue,0.9182472
gene_accession_id,MGI:891989
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Npbwr1
mouse_life_stage,Early adult
