analysis_id,253zy23wk65w03j
parameter_id,JAXLA_CSD_023_001
gene_symbol,Orc2
mouse_strain,C57BL
parameter_name,Vibrissae - presence
pvalue,0.6655983
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
