parameter_name,Light side time spent
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
pvalue,0.6614259
analysis_id,9m33sjgtts5nu9q
