parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.9307415
parameter_name,BMC/Body weight
analysis_id,x70y64al9t2027i
