analysis_id,37vlywz30674tru
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_id,M-G-P_005_001_004
mouse_life_stage,E15.5
pvalue,0.5048066
