analysis_id,0h27941dt9c4k80
mouse_strain,C57BL
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_id,M-G-P_005_001_004
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Late adult
pvalue,0.8039931
