analysis_id,3984tdvbai28s50
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
parameter_name,Distance travelled - total
pvalue,0.7694584
parameter_id,IMPC_OFD_020_001
mouse_strain,C57BL
