analysis_id,2p51256u6c4cw14
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Midbrain
gene_accession_id,MGI:1920344
pvalue,0.3353083
parameter_id,IMPC_GEL_029_001
gene_symbol,Sgip1
