parameter_name,Shape of vertebrae
gene_accession_id,MGI:1919949
pvalue,0.2270594
analysis_id,l305m13fx71z715
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lime1
parameter_id,IMPC_XRY_018_001
