analysis_id,1057rey7r23gx2e
mouse_life_stage,Early adult
pvalue,0.8288154
gene_accession_id,MGI:1914071
parameter_id,IMPC_CBC_053_001
parameter_name,Thyroxine
gene_symbol,Bcs1l
mouse_strain,C57BL
